iter	Passed	Remaining
862	2172	344
863	2174	342
864	2176	339
865	2178	337
866	2181	334
867	2183	332
868	2185	329
869	2188	326
870	2190	324
871	2192	321
872	2195	319
873	2197	316
874	2200	314
875	2202	311
876	2204	309
877	2206	306
878	2208	304
879	2211	301
880	2213	299
881	2216	296
882	2218	293
883	2220	291
884	2222	288
885	2224	286
886	2227	283
887	2229	281
888	2231	278
889	2233	276
890	2235	273
891	2237	270
892	2239	268
893	2242	265
894	2244	263
895	2246	260
896	2248	258
897	2250	255
898	2253	253
899	2255	250
900	2257	248
901	2259	245
902	2261	242
903	2264	240
904	2266	237
905	2268	235
906	2270	232
907	2272	230
908	2275	227
909	2277	225
910	2279	222
911	2281	220
912	2284	217
913	2286	215
914	2288	212
915	2290	210
916	2292	207
917	2295	205
918	2297	202
919	2299	199
920	2301	197
921	2303	194
922	2306	192
923	2308	189
924	2310	187
925	2312	184
926	2314	182
927	2317	179
928	2319	177
929	2321	174
930	2323	172
931	2325	169
932	2327	167
933	2330	164
934	2332	162
935	2334	159
936	2337	157
937	2339	154
938	2341	152
939	2344	149
940	2346	147
941	2349	144
942	2351	142
943	2353	139
944	2355	137
945	2358	134
946	2360	132
947	2362	129
948	2364	127
949	2366	124
950	2369	122
951	2371	119
952	2373	117
953	2375	114
954	2377	112
955	2379	109
956	2382	107
957	2384	104
958	2386	102
959	2388	99
960	2391	97
961	2393	94
962	2396	92
963	2398	89
964	2401	87
965	2403	84
966	2405	82
967	2407	79
968	2410	77
969	2412	74
970	2414	72
971	2416	69
972	2419	67
973	2421	64
974	2424	62
975	2426	59
976	2428	57
977	2430	54
978	2432	52
979	2435	49
980	2437	47
981	2439	44
982	2442	42
983	2444	39
984	2446	37
985	2448	34
986	2451	32
987	2453	29
988	2455	27
989	2457	24
990	2459	22
991	2462	19
992	2464	17
993	2466	14
994	2469	12
995	2471	9
996	2473	7
997	2476	4
998	2478	2
999	2480	0
